TIMESPAN,LABELS,VICTIMS,AMOUNT_USD
2022-08-09 05:00:00.000,Hacker_Wallet_1,1,2.37
2022-08-09 05:00:00.000,Hacker_Wallet_4,1,4347.48
2022-08-09 15:00:00.000,Hacker_Wallet_3,1,0.33
2022-08-16 09:00:00.000,Hacker_Wallet_4,1,0
2022-08-16 10:00:00.000,Hacker_Wallet_4,1,0
2022-08-16 11:00:00.000,Hacker_Wallet_3,1,0
2022-08-16 11:00:00.000,Hacker_Wallet_4,1,0
2022-08-16 12:00:00.000,Hacker_Wallet_4,1,0
2022-08-16 12:00:00.000,Hacker_Wallet_3,1,0
2022-08-16 13:00:00.000,Hacker_Wallet_4,1,0
2022-08-16 13:00:00.000,Hacker_Wallet_3,1,0
2022-08-16 14:00:00.000,Hacker_Wallet_3,1,0
2022-08-16 14:00:00.000,Hacker_Wallet_4,1,0
2022-08-16 15:00:00.000,Hacker_Wallet_4,1,0
2022-08-21 20:00:00.000,Hacker_Wallet_4,1,3.56
2022-08-21 20:00:00.000,Hacker_Wallet_3,1,0.36
2022-08-28 15:00:00.000,Hacker_Wallet_3,1,0.19
2022-08-28 15:00:00.000,Hacker_Wallet_4,1,1.91
2022-09-07 18:00:00.000,Hacker_Wallet_4,1,3.12
2022-09-07 18:00:00.000,Hacker_Wallet_3,1,0.31
2022-09-13 08:00:00.000,Hacker_Wallet_2,1,0
2022-09-22 11:00:00.000,Hacker_Wallet_3,1,0.38
2022-09-22 11:00:00.000,Hacker_Wallet_4,1,3.76
2022-09-28 11:00:00.000,Hacker_Wallet_2,1,0.01
2022-10-07 21:00:00.000,Hacker_Wallet_1,1,0
2022-10-07 21:00:00.000,Hacker_Wallet_3,1,0
2022-10-27 10:00:00.000,Hacker_Wallet_3,1,0.03
2022-10-30 08:00:00.000,Hacker_Wallet_2,1,0
2023-01-08 01:00:00.000,Hacker_Wallet_3,1,0
2023-01-08 02:00:00.000,Hacker_Wallet_4,1,0
2023-01-08 02:00:00.000,Hacker_Wallet_2,1,0
2023-01-08 19:00:00.000,Hacker_Wallet_4,2,0
2023-01-08 19:00:00.000,Hacker_Wallet_3,1,0
2023-01-08 22:00:00.000,Hacker_Wallet_3,2,0
2023-01-08 22:00:00.000,Hacker_Wallet_4,1,0
2023-01-09 04:00:00.000,Hacker_Wallet_3,1,0
2023-01-09 04:00:00.000,Hacker_Wallet_2,1,0
2023-01-09 14:00:00.000,Hacker_Wallet_3,1,0
2023-01-09 14:00:00.000,Hacker_Wallet_1,1,0
2023-01-09 14:00:00.000,Hacker_Wallet_2,1,0
2023-01-11 19:00:00.000,Hacker_Wallet_2,1,0
2023-01-14 10:00:00.000,Hacker_Wallet_3,1,175.33
2023-01-14 11:00:00.000,Hacker_Wallet_1,1,36.21
2023-01-14 11:00:00.000,Hacker_Wallet_2,1,38.76
2023-01-17 14:00:00.000,Hacker_Wallet_3,1,0
2023-01-17 14:00:00.000,Hacker_Wallet_4,1,0
2023-03-11 09:00:00.000,Hacker_Wallet_2,1,0
2023-03-11 22:00:00.000,Hacker_Wallet_4,1,0.63
2023-03-20 21:00:00.000,Hacker_Wallet_2,1,0
2023-03-20 23:00:00.000,Hacker_Wallet_2,1,0
2023-04-23 22:00:00.000,Hacker_Wallet_4,1,0
2023-04-25 12:00:00.000,Hacker_Wallet_3,2,0
2023-04-25 12:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 13:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 13:00:00.000,Hacker_Wallet_3,1,0
2023-04-25 14:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 15:00:00.000,Hacker_Wallet_4,1,0
2023-04-25 15:00:00.000,Hacker_Wallet_3,2,0
2023-04-25 16:00:00.000,Hacker_Wallet_3,2,0
2023-04-25 16:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 17:00:00.000,Hacker_Wallet_4,1,0
2023-04-25 17:00:00.000,Hacker_Wallet_3,2,0
2023-04-25 18:00:00.000,Hacker_Wallet_4,1,0
2023-04-25 18:00:00.000,Hacker_Wallet_3,2,0
2023-04-25 19:00:00.000,Hacker_Wallet_3,1,0
2023-04-25 19:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 20:00:00.000,Hacker_Wallet_3,1,0
2023-04-25 20:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 21:00:00.000,Hacker_Wallet_3,1,0
2023-04-25 21:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 22:00:00.000,Hacker_Wallet_4,1,0
2023-04-25 22:00:00.000,Hacker_Wallet_3,2,0
2023-04-25 23:00:00.000,Hacker_Wallet_4,2,0
2023-04-25 23:00:00.000,Hacker_Wallet_3,2,0
2023-04-26 00:00:00.000,Hacker_Wallet_3,2,0
2023-04-26 00:00:00.000,Hacker_Wallet_4,1,0
2023-04-26 01:00:00.000,Hacker_Wallet_4,1,0
2023-04-26 02:00:00.000,Hacker_Wallet_4,1,0
2023-04-26 02:00:00.000,Hacker_Wallet_3,1,0
2023-04-27 01:00:00.000,Hacker_Wallet_3,3,0
2023-04-27 01:00:00.000,Hacker_Wallet_1,1,0
2023-04-27 01:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 03:00:00.000,Hacker_Wallet_3,2,0
2023-04-27 03:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 04:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 05:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 05:00:00.000,Hacker_Wallet_3,2,0
2023-04-27 06:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 06:00:00.000,Hacker_Wallet_3,1,0
2023-04-27 07:00:00.000,Hacker_Wallet_4,1,0
2023-04-27 07:00:00.000,Hacker_Wallet_3,2,0
2023-04-27 08:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 09:00:00.000,Hacker_Wallet_3,1,0
2023-04-27 09:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 10:00:00.000,Hacker_Wallet_3,2,0
2023-04-27 10:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 11:00:00.000,Hacker_Wallet_4,2,0
2023-04-27 11:00:00.000,Hacker_Wallet_3,1,0
2023-04-27 12:00:00.000,Hacker_Wallet_4,1,0
2023-04-27 12:00:00.000,Hacker_Wallet_3,1,0
2023-04-28 01:00:00.000,Hacker_Wallet_4,1,0
2023-04-28 02:00:00.000,Hacker_Wallet_3,2,0
2023-04-28 02:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 03:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 03:00:00.000,Hacker_Wallet_3,2,0
2023-04-28 04:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 04:00:00.000,Hacker_Wallet_3,1,0
2023-04-28 05:00:00.000,Hacker_Wallet_3,2,0
2023-04-28 05:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 06:00:00.000,Hacker_Wallet_3,1,0
2023-04-28 06:00:00.000,Hacker_Wallet_4,1,0
2023-04-28 07:00:00.000,Hacker_Wallet_4,1,0
2023-04-28 07:00:00.000,Hacker_Wallet_3,2,0
2023-04-28 08:00:00.000,Hacker_Wallet_3,1,0
2023-04-28 08:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 09:00:00.000,Hacker_Wallet_3,2,0
2023-04-28 09:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 10:00:00.000,Hacker_Wallet_4,2,0
2023-04-28 10:00:00.000,Hacker_Wallet_3,1,0
2023-04-28 11:00:00.000,Hacker_Wallet_3,2,0
2023-05-02 23:00:00.000,Hacker_Wallet_3,3,0
2023-05-02 23:00:00.000,Hacker_Wallet_1,1,0
2023-05-02 23:00:00.000,Hacker_Wallet_4,2,0
2023-05-03 00:00:00.000,Hacker_Wallet_2,3,0
2023-05-03 00:00:00.000,Hacker_Wallet_1,5,0
2023-05-03 00:00:00.000,Hacker_Wallet_4,6,0
2023-05-03 00:00:00.000,Hacker_Wallet_3,4,0
2023-05-03 01:00:00.000,Hacker_Wallet_2,1,0
2023-05-03 19:00:00.000,Hacker_Wallet_1,1,0
2023-05-03 19:00:00.000,Hacker_Wallet_2,1,0
2023-05-03 19:00:00.000,Hacker_Wallet_4,1,0
2023-05-03 19:00:00.000,Hacker_Wallet_3,2,0
2023-05-11 05:00:00.000,Hacker_Wallet_1,3,0
2023-05-11 05:00:00.000,Hacker_Wallet_3,8,0
2023-05-11 05:00:00.000,Hacker_Wallet_4,8,0
2023-05-11 05:00:00.000,Hacker_Wallet_2,5,0
2023-05-13 17:00:00.000,Hacker_Wallet_4,1,0
2023-05-18 23:00:00.000,Hacker_Wallet_2,1,0
2023-05-19 00:00:00.000,Hacker_Wallet_2,1,0
2023-05-22 21:00:00.000,Hacker_Wallet_4,1,0.03
2023-05-28 23:00:00.000,Hacker_Wallet_1,1,2.74
2023-06-11 01:00:00.000,Hacker_Wallet_3,1,0
2023-06-11 02:00:00.000,Hacker_Wallet_2,1,0
2023-06-11 02:00:00.000,Hacker_Wallet_4,1,0
2023-06-11 02:00:00.000,Hacker_Wallet_1,1,0
2023-07-17 03:00:00.000,Hacker_Wallet_4,1,0
2023-08-02 13:00:00.000,Hacker_Wallet_3,1,0
2023-08-02 13:00:00.000,Hacker_Wallet_2,1,0
2023-08-02 13:00:00.000,Hacker_Wallet_1,1,0
2023-08-02 14:00:00.000,Hacker_Wallet_1,1,0
2023-08-02 14:00:00.000,Hacker_Wallet_4,2,0
2023-08-02 15:00:00.000,Hacker_Wallet_3,1,0
2023-08-05 18:00:00.000,Hacker_Wallet_1,1,0
2023-08-06 03:00:00.000,Hacker_Wallet_4,1,0
2023-08-09 23:00:00.000,Hacker_Wallet_3,1,0
2023-08-09 23:00:00.000,Hacker_Wallet_2,1,0
2023-08-10 00:00:00.000,Hacker_Wallet_4,1,0
2023-08-23 13:00:00.000,Hacker_Wallet_1,1,0
2023-09-21 02:00:00.000,Hacker_Wallet_3,1,0
2023-09-21 02:00:00.000,Hacker_Wallet_4,1,0
2023-09-21 02:00:00.000,Hacker_Wallet_2,1,0
2023-10-07 20:00:00.000,Hacker_Wallet_3,1,0
2023-10-07 21:00:00.000,Hacker_Wallet_4,1,0
2023-10-21 22:00:00.000,Hacker_Wallet_3,1,0
2023-10-26 22:00:00.000,Hacker_Wallet_3,1,0
2023-10-26 23:00:00.000,Hacker_Wallet_2,1,0
2023-11-06 04:00:00.000,Hacker_Wallet_2,1,0
2023-11-09 19:00:00.000,Hacker_Wallet_3,1,0
2023-11-09 19:00:00.000,Hacker_Wallet_4,1,0
2023-11-09 19:00:00.000,Hacker_Wallet_2,1,0
2023-11-11 22:00:00.000,Hacker_Wallet_4,1,0
2023-11-11 23:00:00.000,Hacker_Wallet_2,1,0
2023-11-11 23:00:00.000,Hacker_Wallet_4,1,0
2023-11-12 02:00:00.000,Hacker_Wallet_2,1,0
2023-11-16 20:00:00.000,Hacker_Wallet_2,1,6.1
2023-11-16 20:00:00.000,Hacker_Wallet_3,1,6.1
2023-11-16 21:00:00.000,Hacker_Wallet_4,1,6.1
2023-11-18 04:00:00.000,Hacker_Wallet_2,1,0
2023-11-18 12:00:00.000,Hacker_Wallet_4,1,0
2023-11-18 18:00:00.000,Hacker_Wallet_3,1,0
2023-11-19 06:00:00.000,Hacker_Wallet_2,1,0
2023-11-19 16:00:00.000,Hacker_Wallet_4,1,0
2023-11-19 21:00:00.000,Hacker_Wallet_3,1,0
2023-11-29 13:00:00.000,Hacker_Wallet_4,1,0.53
2023-11-29 14:00:00.000,Hacker_Wallet_3,1,2.13
2024-02-05 03:00:00.000,Hacker_Wallet_3,1,0.05
2024-02-08 22:00:00.000,Hacker_Wallet_2,1,0.01
2024-02-09 04:00:00.000,Hacker_Wallet_3,1,2.11
2024-02-09 05:00:00.000,Hacker_Wallet_2,1,0.54
2024-02-09 05:00:00.000,Hacker_Wallet_4,1,0.64
2024-02-09 21:00:00.000,Hacker_Wallet_2,1,0.09
2024-02-09 21:00:00.000,Hacker_Wallet_3,1,0.35
2024-02-09 21:00:00.000,Hacker_Wallet_4,1,0.11
2024-02-27 06:00:00.000,Hacker_Wallet_3,1,0.16
2024-02-28 06:00:00.000,Hacker_Wallet_1,1,0.91
2024-02-28 06:00:00.000,Hacker_Wallet_3,1,0.91
2024-02-28 07:00:00.000,Hacker_Wallet_2,1,0.91
2024-02-28 13:00:00.000,Hacker_Wallet_4,1,0.91
2024-03-02 11:00:00.000,Hacker_Wallet_3,1,0.23
2024-03-02 12:00:00.000,Hacker_Wallet_3,1,0.23
2024-03-02 12:00:00.000,Hacker_Wallet_4,1,0.23
2024-03-07 05:00:00.000,Hacker_Wallet_2,2,0
2024-03-11 21:00:00.000,Hacker_Wallet_3,1,0.03
2024-03-13 01:00:00.000,Hacker_Wallet_1,1,0.03
2024-03-13 10:00:00.000,Hacker_Wallet_3,1,7.9
2024-03-13 13:00:00.000,Hacker_Wallet_4,1,0.33
2024-03-13 13:00:00.000,Hacker_Wallet_1,1,0.33
2024-03-13 13:00:00.000,Hacker_Wallet_2,1,0.33
2024-03-13 13:00:00.000,Hacker_Wallet_3,1,0.33
2024-03-14 13:00:00.000,Hacker_Wallet_1,2,0
2024-03-17 08:00:00.000,Hacker_Wallet_1,1,0
2024-03-17 09:00:00.000,Hacker_Wallet_1,4,0
2024-03-17 10:00:00.000,Hacker_Wallet_1,5,0
2024-03-17 11:00:00.000,Hacker_Wallet_1,5,0
2024-03-17 12:00:00.000,Hacker_Wallet_1,5,0
2024-03-18 19:00:00.000,Hacker_Wallet_1,5,0
2024-03-18 20:00:00.000,Hacker_Wallet_1,5,0
2024-03-20 13:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-21 16:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-21 17:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-21 18:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-21 19:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-21 20:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-21 23:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-22 00:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-22 01:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-22 02:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-22 03:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-22 04:00:00.000,Hacker_Wallet_1,1,0.02
2024-03-22 05:00:00.000,Hacker_Wallet_1,1,0.02
2024-04-18 23:00:00.000,Hacker_Wallet_4,1,3.6
2024-04-19 01:00:00.000,Hacker_Wallet_2,1,3.64
2024-04-22 07:00:00.000,Hacker_Wallet_3,1,3.67
2024-04-22 16:00:00.000,Hacker_Wallet_3,1,0.16
2024-04-28 18:00:00.000,Hacker_Wallet_4,1,0.98
2024-05-20 07:00:00.000,Hacker_Wallet_1,3,0
2024-06-06 10:00:00.000,Hacker_Wallet_1,3,0
2024-06-12 10:00:00.000,Hacker_Wallet_1,1,0
2024-09-20 13:00:00.000,Hacker_Wallet_3,1,0
2024-10-27 18:00:00.000,Hacker_Wallet_2,1,0.26
2024-10-29 22:00:00.000,Hacker_Wallet_3,1,0.35
2024-11-08 03:00:00.000,Hacker_Wallet_3,1,0.31
2024-11-10 11:00:00.000,Hacker_Wallet_3,1,0
2024-11-21 16:00:00.000,Hacker_Wallet_1,1,0
2024-11-21 17:00:00.000,Hacker_Wallet_3,1,0
2024-11-22 13:00:00.000,Hacker_Wallet_1,4,0
2024-11-22 14:00:00.000,Hacker_Wallet_3,2,0
2024-11-22 14:00:00.000,Hacker_Wallet_4,3,0
2024-12-03 16:00:00.000,Hacker_Wallet_1,4,0
2024-12-16 03:00:00.000,Hacker_Wallet_4,1,0
2024-12-16 03:00:00.000,Hacker_Wallet_1,1,0
2024-12-16 03:00:00.000,Hacker_Wallet_3,1,0
2024-12-16 03:00:00.000,Hacker_Wallet_2,1,0
2024-12-16 21:00:00.000,Hacker_Wallet_3,1,0
2024-12-16 21:00:00.000,Hacker_Wallet_1,1,0
2024-12-16 21:00:00.000,Hacker_Wallet_4,1,0
2024-12-16 22:00:00.000,Hacker_Wallet_2,1,0
2024-12-17 18:00:00.000,Hacker_Wallet_3,1,0
2024-12-17 18:00:00.000,Hacker_Wallet_4,1,0
2024-12-17 18:00:00.000,Hacker_Wallet_1,1,0
2024-12-19 10:00:00.000,Hacker_Wallet_1,1,0
2024-12-19 10:00:00.000,Hacker_Wallet_4,1,0
2024-12-19 10:00:00.000,Hacker_Wallet_3,1,0
2024-12-19 11:00:00.000,Hacker_Wallet_2,1,0
2024-12-19 18:00:00.000,Hacker_Wallet_1,2,0
2024-12-19 19:00:00.000,Hacker_Wallet_1,1,0
2025-02-21 21:00:00.000,Hacker_Wallet_1,2,0
2025-04-04 10:00:00.000,Hacker_Wallet_1,1,7.86
﻿
